     PID         DATE      TIME      ELAPSED    CPU    MEM       RSS     VSIZE       CMD
   34488   2021-04-29  15:22:26  02-01:58:39    0.0    1.3    110696   5851780  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:27  02-01:58:40    0.3    1.3    110688   5851780  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:28  02-01:58:41    0.0    1.3    110688   5851780  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:29  02-01:58:42    4.5    1.3    110772   5852304  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:30  02-01:58:43    6.1    1.3    110784   5852304  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:31  02-01:58:44    8.7    1.3    111112   5860560  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:32  02-01:58:45    4.4    1.3    109280   5860560  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:33  02-01:58:46   16.1    1.3    111040   5861572  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:34  02-01:58:47   11.0    1.3    110456   5862072  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:35  02-01:58:49   11.0    1.3    110668   5862072  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:37  02-01:58:50    8.4    1.3    110908   5862072  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:38  02-01:58:51   14.9    1.3    111160   5862072  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:39  02-01:58:52    8.9    1.3    111156   5862072  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:40  02-01:58:53    5.1    1.3    111208   5862020  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:41  02-01:58:54    3.2    1.3    111260   5862020  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:42  02-01:58:55   18.1    1.3    111276   5862020  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:43  02-01:58:56    8.0    1.3    111296   5862020  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:44  02-01:58:57   15.4    1.3    111316   5862020  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:45  02-01:58:58    4.3    1.3    111308   5861496  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:46  02-01:58:59    3.9    1.3    111360   5861496  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:47  02-01:59:00    0.3    1.3    111360   5861496  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:48  02-01:59:02   16.1    1.3    112232   5861752  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:50  02-01:59:03    0.9    1.3    112272   5861752  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:51  02-01:59:04    0.3    1.3    112272   5861752  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:52  02-01:59:05    9.7    1.4    113728   5861228  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:53  02-01:59:06    4.2    1.4    113764   5861228  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:54  02-01:59:07   17.3    1.4    113952   5861228  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:55  02-01:59:08   16.6    1.4    113984   5861228  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:56  02-01:59:09    2.4    1.4    114024   5861228  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:57  02-01:59:10   16.3    1.4    114132   5861228  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:58  02-01:59:11    8.5    1.4    114160   5861752  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:22:59  02-01:59:12    8.1    1.4    113672   5861752  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:23:00  02-01:59:13    8.8    1.4    115172   5862800  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:23:01  02-01:59:14    0.7    1.4    115712   5863252  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:23:02  02-01:59:16    9.7    1.4    115732   5863252  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:23:04  02-01:59:17   18.4    1.4    115788   5863252  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:23:05  02-01:59:18   24.7    1.4    115808   5863252  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:23:06  02-01:59:19    5.5    1.4    115784   5863192  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:23:07  02-01:59:20    6.6    1.4    114984   5863192  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:23:08  02-01:59:21    1.2    1.4    114864   5863192  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:23:09  02-01:59:22    4.6    1.4    114900   5863192  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:23:10  02-01:59:23    9.3    1.4    114960   5863192  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:23:11  02-01:59:24   24.4    1.4    115036   5863192  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:23:12  02-01:59:25    0.8    1.4    115052   5862668  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:23:13  02-01:59:26   12.3    1.4    114500   5863056  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:23:14  02-01:59:28    1.0    1.4    114548   5863056  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:23:16  02-01:59:29    0.3    1.4    114588   5863056  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:23:17  02-01:59:30    0.2    1.4    114588   5863056  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:23:18  02-01:59:31    0.1    1.4    114588   5863056  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:23:19  02-01:59:32   23.9    1.4    114448   5861448  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:23:20  02-01:59:33   15.2    1.4    114660   5862496  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:23:21  02-01:59:34   21.7    1.4    114740   5862496  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:23:22  02-01:59:35   11.3    1.4    114848   5862496  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
   34488   2021-04-29  15:23:23  02-01:59:36    0.4    1.4    114868   5862496  /Applications/Microsoft Teams.app/Contents/MacOS/Teams --updateSucceeded 489f9d1e-36f6-4524-bb50-864be3382d2f
